bin,age,parameterValue,parameterFrequency,sd,countsPerBin,autocorrelationPerBin
1,0.0005,1.956361532,0.030303031,1.581255555,68,0.252011865
2,0.0015,246.2998505,0.030303031,49.80612564,106,0.071088664
3,0.0025,338.389679,0.030303031,51.59511185,136,0.047051609
4,0.0035,264.1767578,0.030303031,29.68016243,209,-0.007571799
5,0.0045,662.8163452,0.030303031,97.87768555,266,0.060091455
6,0.0055,262.7800903,0.030303031,23.53224754,304,0.03407798
7,0.0065,341.2212524,0.030303031,33.79940414,386,0.11741937
8,0.0075,0.084944829,0.030303031,0.08180853,191,0.391379535
9,0.0085,559.2744141,0.030303031,41.4033165,753,0.185699374
10,0.009500001,771.3845825,0.030303031,45.3763237,1054,0.212195188
11,0.010500001,1022.97644,0.030303031,57.9182663,1362,0.250112832
12,0.011500001,1307.912964,0.030303031,66.74838257,1575,0.234182596
13,0.012500001,1437.657104,0.030303031,65.82492065,1529,0.163052321
14,0.013500001,1632.907104,0.030303031,77.73888397,1698,0.256942809
15,0.014500001,1780.761108,0.030303031,69.55994415,1956,0.216871098
16,0.015500001,2548.200195,0.030303031,116.1664047,2276,0.327109426
17,0.016500001,3443.900635,0.030303031,125.7665024,2967,0.28196764
18,0.017500001,4399.178223,0.030303031,162.4807129,3021,0.290231526
19,0.018500001,3936.324219,0.030303031,160.0112152,2456,0.328692436
20,0.019500001,4087.462646,0.030303031,175.3006287,2128,0.352449358
21,0.020500001,4242.833496,0.030303031,199.8041992,1728,0.33367762
22,0.021500001,4548.087402,0.030303031,273.062439,1202,0.351615727
23,0.022500001,3805.934814,0.030303031,306.0090332,795,0.416875154
24,0.023500001,3069.868896,0.030303031,244.547226,446,0.214319646
25,0.024500001,2533.381592,0.030303031,220.8059845,289,0.150075212
26,0.025500001,2524.060059,0.030303031,372.6137085,183,0.231027484
27,0.026500001,1853.823853,0.030303031,311.9385986,142,0.380722135
28,0.027500001,2650.75293,0.030303031,409.5447998,104,0.130323142
29,0.028500001,1636.402954,0.030303031,688.3475952,30,0.130732015
30,0.029500001,1965.12439,0.030303031,534.8666382,10,-0.053255752
31,0.030500001,1142.298828,0.030303031,472.2277222,8,-0.149600416
