differences,observed,simulated,model.frequency,lower.bound1,upper.bound1,lower.bound5,upper.bound5,lower.bound10,upper.bound10
0,2,5.9,6.1,1,18,1,10,1,10
1,1,6,6.1,0,16,1,12,2,11
2,5,6,6,1,19,2,13,2,12
3,10,6.6,6,1,19,2,16,2,14
4,13,6.8,6.1,1,17,3,15,3,13
5,12,7.1,6.2,0,17,0,16,1,15
6,12,7.1,6.5,1,18,2,17,2,15
7,10,8.7,7.5,0,20,2,20,3,19
8,13,12,9.6,1,38,2,30,3,27
9,24,18.4,13.9,2,66,4,46,5,38
10,29,27.3,21.5,5,74,7,61,10,52
11,30,43.6,33.6,9,113,11,91,16,87
12,61,63.8,51,16,156,23,115,26,112
13,68,88.6,73.6,25,215,35,161,47,152
14,103,116.5,100.4,39,205,55,193,61,186
15,100,138.2,129.1,50,210,79,198,83,189
16,142,160.8,156.3,69,223,97,215,109,210
17,179,175.5,178.6,105,241,122,232,132,230
18,219,185.4,193.2,127,247,132,231,146,224
19,233,187.9,198.3,135,231,138,225,149,220
20,162,180.1,193.4,127,234,135,227,136,217
21,192,166.8,179.8,106,220,112,217,118,208
22,197,150.6,159.6,64,214,75,203,98,198
23,112,128.3,135.6,47,198,66,192,76,185
24,104,104.3,110.4,36,176,44,161,54,156
25,80,80.8,86.3,23,151,31,142,38,131
26,74,62.7,64.9,12,136,16,121,22,106
27,29,45.4,47,3,113,6,106,13,84
28,29,31,32.8,1,105,4,65,6,63
29,15,21.2,22.1,0,105,0,56,2,48
30,6,13.9,14.4,0,60,0,41,1,40
31,7,8.2,9.1,0,43,0,32,0,25
32,2,5.8,5.6,0,33,0,28,0,24
33,3,3,3.3,0,23,0,20,0,12
