,statarea002,statarea003,statarea008,statarea009,statarea010,statarea011,statarea013,statarea016,statarea039,statarea040,statarea041,statarea042,statarea046,statarea047
statarea002,        *,,,,,,,,,,,,,
statarea003,0.39640+-0.0474,        *,,,,,,,,,,,,
statarea008,0.92793+-0.0274,0.51351+-0.0408,,,,,,,,,,,,
statarea009,0.25225+-0.0353,0.27928+-0.0252,0.56757+-0.0334,,,,,,,,,,,
statarea010,0.54955+-0.0515,0.63063+-0.0470,0.81982+-0.0287,0.09910+-0.0286,,,,,,,,,,
statarea011,0.91892+-0.0228,0.45045+-0.0359,0.96396+-0.0142,0.55856+-0.0633,0.54054+-0.0542,,,,,,,,,
statarea013,0.44144+-0.0478,0.20721+-0.0385,0.80180+-0.0395,0.39640+-0.0364,0.44144+-0.0566,0.42342+-0.0451,,,,,,,,
statarea016,0.99099+-0.0030,0.99099+-0.0030,0.99099+-0.0030,0.99099+-0.0030,0.99099+-0.0030,0.99099+-0.0030,0.99099+-0.0030,,,,,,,
statarea039,0.13514+-0.0412,0.11712+-0.0305,0.18018+-0.0383,0.00901+-0.0091,0.09009+-0.0271,0.09009+-0.0332,0.02703+-0.0139,0.76577+-0.0366,,,,,,
statarea040,0.07207+-0.0264,0.14414+-0.0242,0.18919+-0.0212,0.01802+-0.0121,0.35135+-0.0656,0.09009+-0.0332,0.49550+-0.0595,0.38739+-0.0490,0.14414+-0.0364,,,,,
statarea041,0.47748+-0.0637,0.11712+-0.0139,0.49550+-0.0494,0.01802+-0.0121,0.50450+-0.0529,0.36937+-0.0478,0.12613+-0.0278,0.72973+-0.0417,0.17117+-0.0344,0.36036+-0.0383,,,,
statarea042,0.91892+-0.0228,0.90090+-0.0236,0.96396+-0.0196,0.45946+-0.0417,0.93694+-0.0203,0.90090+-0.0333,0.95495+-0.0151,0.69369+-0.0305,0.13514+-0.0203,0.24324+-0.0385,0.70270+-0.0228,,,
statarea046,0.89189+-0.0287,0.79279+-0.0354,0.88288+-0.0298,0.31532+-0.0412,0.96396+-0.0142,0.67568+-0.0280,0.87387+-0.0306,0.72973+-0.0371,0.62162+-0.0550,0.68468+-0.0454,0.90991+-0.0287,0.96396+-0.0142,,
statarea047,0.17117+-0.0417,0.56757+-0.0237,0.43243+-0.0402,0.69369+-0.0360,0.09009+-0.0271,0.48649+-0.0493,0.50450+-0.0388,0.64865+-0.0354,0.09910+-0.0212,0.05405+-0.0201,0.00901+-0.0091,0.85586+-0.0475,0.69369+-0.0360,
