no.diffs,sample,location.latitude,location.longitude,exact.gps.known
0,TRA7-A7,-34.883333,173.566667,Y
0,TRA8-I1,-37.683333,177.68333,Y
0,TRA24-E3,-37.510557,178.35854,N
1,P046471,-38.4425,174.056667,Y
1,P048616,-35.16525,173.06645,Y
1,P048619,-35.16525,173.06645,Y
1,P048662,-35.174217,173.059117,Y
1,TRA2-G2,-37.878333,174.621667,Y
1,TRA2-I1,-38.075,174.611667,Y
1,TRA7-A1,-34.883333,173.566667,Y
1,TRA7-A3,-34.883333,173.566667,Y
1,TRA7-A5,-34.883333,173.566667,Y
1,TRA7-A6,-34.883333,173.566667,Y
1,TRA7-I4,-34.683333,173.383333,Y
1,TRA8-C9,-37.683333,176.983333,Y
1,TRA11-A8,-35.91,174.89,N
1,TRA20-A10,-36.56,176,N
1,TRA24-C5,-37.510557,178.35854,N
2,55,-37.12200137,175.9687042,Y
2,P048662,-35.174217,173.059117,Y
2,P051980,-35.16595,173.052083,Y
2,TRA1-A9,-37.383333,174.533333,Y
2,TRA2-I6,-37.945,174.605,Y
2,TRA7-A8,-34.883333,173.566667,Y
2,TRA7-G9,-34.683333,173.383333,Y
2,TRA8-C7,-37.616667,176.466667,Y
2,TRA8-E7,-37.733333,177.3,Y
2,TRA8-I2,-37.683333,177.68333,Y
2,TRA9-A1,-34.4,172.916667,Y
2,TRA9-A3,-34.4,172.916667,Y
2,TRA20-A1,-36.56,176,N
2,TRA20-A2,-36.56,176,N
2,TRA20-E4,-36.56,176,N
2,TRA24-A8,-37.510557,178.35854,N
2,TRA24-C10,-37.510557,178.35854,N
2,TRA39-A3,-40.97,174.83,N
