bin,age,parameterValue,parameterFrequency,sd,countsPerBin,autocorrelationPerBin
1,0.0005,1.111994147,0.001542213,0.037636969,1796,0.022211961
2,0.0015,1.043909788,0.001707672,0.020728679,5285,0.012657802
3,0.0025,0.896187723,0.001918136,0.013712972,9034,0.008092228
4,0.0035,0.908661187,0.002344654,0.013157859,10541,0.001353246
5,0.0045,0.851783752,0.0027956,0.012553347,10472,0.021400509
6,0.0055,0.898546815,0.003403198,0.01356005,10186,0.024139494
7,0.0065,0.853082001,0.003917695,0.013067015,9690,0.017367957
8,0.0075,0.74163866,0.004435651,0.011237546,9434,0.013584783
9,0.0085,0.60348767,0.004860095,0.008828736,10650,0.058322515
10,0.009500001,0.512197495,0.005500854,0.006485792,12801,0.032786839
11,0.010500001,0.403254032,0.005984013,0.004735773,16338,0.073902175
12,0.011500001,0.312802792,0.006645005,0.003252666,20476,0.109863833
13,0.012500001,0.24341324,0.007246724,0.002373567,24479,0.139562532
14,0.013500001,0.190252587,0.008127981,0.001718837,27471,0.167655975
15,0.014500001,0.152725741,0.009018647,0.001380888,29474,0.218981132
16,0.015500001,0.120114051,0.00992691,0.00101162,30863,0.241770431
17,0.016500001,0.105235606,0.011121362,0.000872372,31643,0.277940214
18,0.017500001,0.092176057,0.012267538,0.000687794,34293,0.282108605
19,0.018500001,0.077692449,0.013934446,0.000509287,38329,0.302361012
20,0.019500001,0.064024478,0.015883301,0.000380901,43652,0.313305229
21,0.020500001,0.050371729,0.017788591,0.000283341,50765,0.322811812
22,0.021500001,0.038448479,0.020173233,0.000212539,58818,0.352783024
23,0.022500001,0.028549181,0.023136044,0.000160868,68032,0.3928276
24,0.023500001,0.020832975,0.025852112,1.21E-04,77148,0.417297036
25,0.024500001,0.015621511,0.028419536,9.08E-05,81352,0.414360464
26,0.025500001,0.01226422,0.030190112,7.07E-05,79227,0.378360182
27,0.026500001,0.010405994,0.032033321,6.28E-05,66818,0.356283933
28,0.027500001,0.009487183,0.032866783,6.20E-05,50104,0.32286635
29,0.028500001,0.00917343,0.034184415,6.74197E-05,33046,0.279235959
30,0.029500001,0.009343768,0.035386685,8.13925E-05,19614,0.253922373
31,0.030500001,0.009805663,0.035793342,0.000100756,11125,0.226709649
32,0.031500002,0.010492559,0.037000693,0.000135751,5928,0.21667929
33,0.032500002,0.011217772,0.036316913,0.000181701,3296,0.223234534
34,0.033500002,0.012141301,0.03611476,0.000276409,1713,0.24828133
35,0.034500002,0.013917756,0.036614239,0.000386266,814,0.174908534
36,0.035500002,0.01489882,0.040036388,0.000592539,412,0.229794741
37,0.036500002,0.015576955,0.040825259,0.000738866,260,0.171182245
38,0.037500002,0.017824959,0.03698558,0.00093043,156,0.130412146
39,0.038500002,0.019507192,0.043005962,0.001505944,74,0.242909044
40,0.039500002,0.020485476,0.033587426,0.001639435,48,0.08668597
41,0.040500002,0.024043094,0.038775686,0.001697283,17,-0.196758553
42,0.041500002,0.026167871,0.048696213,0.005093559,6,0.16744028
43,0.042500002,0.033808399,0.030740948,0.003547595,4,0.203402415
44,0.043500002,0.035198607,0.05451924,0.002052149,2,0
