HPC95,parameter.value,count
1,1.333333,6807.369629
1,4,6536.411133
1,6.666667,6263.566895
1,9.333333,5989.452148
1,12,5714.714844
1,14.666667,5439.987793
1,17.333333,5165.905762
1,20,4893.107422
1,22.666667,4622.241211
1,25.333333,4353.944824
1,28,4088.864258
1,30.666667,3827.641846
1,33.333333,3570.918701
1,36,3319.340332
1,38.666667,3073.54834
1,41.333333,2834.188232
1,44,2601.900879
1,46.666667,2377.333984
1,49.333333,2161.12915
1,52,1953.929688
1,54.666667,1756.380859
1,57.333333,1569.125854
1,60,1392.808716
1,62.666667,1228.072632
1,65.333333,1075.561646
1,68,935.92041
1,70.666667,809.791992
1,73.333333,697.820435
0,76,600.649292
0,78.666667,518.922729
0,81.333333,453.284515
0,84,404.378357
0,86.666667,369.184814
0,89.333333,340.597015
0,92,314.481049
0,94.666667,288.843933
0,97.333333,262.792938
0,100,236.11879
0,102.666667,209.006699
0,105.333333,181.882141
0,108,155.404114
0,110.666667,130.223877
0,113.333333,107.017975
0,116,86.333969
0,118.666667,68.430092
0,121.333333,53.358616
0,124,40.947262
0,126.666667,31.013378
0,129.333333,23.140753
0,132,17.081488
0,134.666667,12.494567
0,137.333333,9.055624
0,140,6.538597
0,142.666667,4.68288
0,145.333333,3.342242
0,148,2.359522
0,150.666667,1.663917
0,153.333333,1.160604
0,156,0.812432
0,158.666667,0.571051
0,161.333333,0.401401
0,164,0.269804
0,166.666667,0.185683
0,169.333333,0.121518
0,172,0.081608
0,174.666667,0.056192
0,177.333333,0.037819
0,180,0.023209
0,182.666667,0.011619
0,185.333333,0.005824
0,188,0.003369
0,190.666667,0.001714
0,193.333333,0
0,196,0
0,198.666667,0
0,201.333333,0
0,204,0
0,206.666667,0
0,209.333333,0
0,212,0
0,214.666667,0
0,217.333333,0
0,220,0
0,222.666667,0
0,225.333333,0
0,228,0
0,230.666667,0
0,233.333333,0
0,236,0
0,238.666667,0
0,241.333333,0
0,244,0
0,246.666667,0
0,249.333333,0
0,252,0
0,254.666667,0
0,257.333333,0
0,260,0
0,262.666667,0
0,265.333333,0
0,268,0
0,270.666667,0
0,273.333333,0
0,276,0
0,278.666667,0
0,281.333333,0
0,284,0
0,286.666667,0
0,289.333333,0
0,292,0
0,294.666667,0
0,297.333333,0
0,300,0
0,302.666667,0
0,305.333333,0
0,308,0
0,310.666667,0
0,313.333333,0
0,316,0
0,318.666667,0
0,321.333333,0
0,324,0
0,326.666667,0
0,329.333333,0
0,332,0
0,334.666667,0
0,337.333333,0
0,340,0
0,342.666667,0
0,345.333333,0
0,348,0
0,350.666667,0
0,353.333333,0
0,356,0
0,358.666667,0
0,361.333333,0
0,364,0
0,366.666667,0
0,369.333333,0
0,372,0
0,374.666667,0
0,377.333333,0
0,380,0
0,382.666667,0
0,385.333333,0
0,388,0
0,390.666667,0
0,393.333333,0
