HPC95,parameter.value,count
0,0.150183,0
0,0.15055,0
0,0.150917,0
0,0.151283,0
0,0.15165,0
0,0.152017,0
0,0.152383,0
0,0.15275,0
0,0.153117,0
0,0.153483,0
0,0.15385,0
0,0.154217,0
0,0.154583,0
0,0.15495,0
0,0.155317,0
0,0.155683,0
0,0.15605,0
0,0.156417,0
0,0.156783,0
0,0.15715,0
0,0.157517,0
0,0.157883,0
0,0.15825,0
0,0.158617,0
0,0.158983,0
0,0.15935,0
0,0.159717,0
0,0.160083,0
0,0.16045,0
0,0.160817,0
0,0.161183,0
0,0.16155,0
0,0.161917,0
0,0.162283,0
0,0.16265,0
0,0.163017,0
0,0.163383,0
0,0.16375,0
0,0.164117,0
0,0.164483,0
0,0.16485,0
0,0.165217,0
0,0.165583,0
0,0.16595,0
0,0.166317,0
0,0.166683,0
0,0.16705,0
0,0.167417,0
0,0.167783,0
0,0.16815,0
0,0.168517,0
0,0.168883,0
0,0.16925,0
0,0.169617,0
0,0.169983,0
0,0.17035,0
0,0.170717,0
0,0.171083,0
0,0.17145,0
0,0.171817,0
0,0.172183,0
0,0.17255,0
0,0.172917,0
0,0.173283,0
0,0.17365,0
0,0.174017,0
0,0.174383,0
0,0.17475,0
0,0.175117,0
0,0.175483,0
0,0.17585,0
0,0.176217,0
0,0.176583,0
0,0.17695,0
0,0.177317,0
0,0.177683,0
0,0.17805,0
0,0.178417,0
0,0.178783,0
0,0.17915,0
0,0.179517,0
0,0.179883,0
0,0.18025,0
0,0.180617,0
0,0.180983,0
0,0.18135,0
0,0.181717,0
0,0.182083,0
0,0.18245,0
0,0.182817,0
0,0.183183,0
0,0.18355,0
0,0.183917,0
0,0.184283,0
0,0.18465,0
0,0.185017,0
0,0.185383,0
0,0.18575,0
0,0.186117,0
0,0.186483,0
0,0.18685,0
0,0.187217,0
0,0.187583,0
0,0.18795,0
0,0.188317,0
0,0.188683,0
0,0.18905,0
0,0.189417,0
0,0.189783,0
0,0.19015,0
0,0.190517,0
0,0.190883,0
0,0.19125,0
0,0.191617,0
0,0.191983,0
0,0.19235,0
0,0.192717,0.00164
0,0.193083,0.004863
0,0.19345,0.007976
0,0.193817,0.010977
0,0.194183,0.013867
0,0.19455,0.021565
0,0.194917,0.028985
0,0.195283,0.036127
0,0.19565,0.04463
0,0.196017,0.0528
0,0.196383,0.060637
0,0.19675,0.06814
0,0.197117,0.07531
0,0.197483,0.082146
0,0.19785,0.090289
0,0.198217,0.099681
0,0.198583,0.10863
0,0.19895,0.117133
0,0.199317,0.125192
0,0.199683,0.132807
0,0.20005,0.139976
0,0.200417,0.146701
0,0.200783,0.152982
0,0.20115,0.160457
0,0.201517,0.167433
0,0.201883,0.173908
0,0.20225,0.179882
0,0.202617,0.185357
0,0.202983,0.190331
0,0.20335,0.194805
0,0.203717,0.200419
0,0.204083,0.205477
0,0.20445,0.209979
0,0.204817,0.215564
0,0.205183,0.222178
0,0.20555,0.231404
0,0.205917,0.241492
0,0.206283,0.254025
0,0.20665,0.265613
0,0.207017,0.282815
0,0.207383,0.300489
0,0.20775,0.31858
0,0.208117,0.335393
0,0.208483,0.352567
0,0.20885,0.370047
0,0.209217,0.386137
0,0.209583,0.402477
0,0.20995,0.420652
0,0.210317,0.440549
0,0.210683,0.458779
0,0.21105,0.475342
0,0.211417,0.490237
0,0.211783,0.505105
0,0.21215,0.518249
0,0.212517,0.53131
0,0.212883,0.544232
0,0.21325,0.563518
0,0.213617,0.585611
0,0.213983,0.607065
0,0.21435,0.627823
0,0.214717,0.654446
0,0.215083,0.681847
0,0.21545,0.70833
0,0.215817,0.73712
0,0.216183,0.76805
0,0.21655,0.802759
0,0.216917,0.842832
0,0.217283,0.879792
0,0.21765,0.923533
0,0.218017,0.970498
0,0.218383,1.015544
0,0.21875,1.061898
0,0.219117,1.107751
0,0.219483,1.156271
0,0.21985,1.205654
0,0.220217,1.26076
0,0.220583,1.314756
0,0.22095,1.370807
0,0.221317,1.428693
0,0.221683,1.486551
0,0.22205,1.550773
0,0.222417,1.62097
0,0.222783,1.688554
0,0.22315,1.75511
0,0.223517,1.822167
0,0.223883,1.89114
0,0.22425,1.958475
0,0.224617,2.032201
0,0.224983,2.111873
0,0.22535,2.19049
0,0.225717,2.272803
0,0.226083,2.348641
0,0.22645,2.424507
0,0.226817,2.506737
0,0.227183,2.590022
0,0.22755,2.677476
0,0.227917,2.767181
0,0.228283,2.862194
0,0.22865,2.962126
0,0.229017,3.074896
0,0.229383,3.181969
0,0.22975,3.299685
0,0.230117,3.4241
0,0.230483,3.544819
0,0.23085,3.686268
0,0.231217,3.844112
0,0.231583,4.004292
0,0.23195,4.168056
0,0.232317,4.335017
0,0.232683,4.499753
0,0.23305,4.665102
0,0.233417,4.838705
0,0.233783,5.011583
0,0.23415,5.191438
0,0.234517,5.37585
0,0.234883,5.557595
0,0.23525,5.747925
0,0.235617,5.936505
0,0.235983,6.119667
0,0.23635,6.306859
0,0.236717,6.51064
0,0.237083,6.718533
0,0.23745,6.947798
0,0.237817,7.190598
0,0.238183,7.429588
0,0.23855,7.675748
0,0.238917,7.936499
0,0.239283,8.200891
0,0.23965,8.482898
0,0.240017,8.774912
0,0.240383,9.059478
0,0.24075,9.350798
0,0.241117,9.64295
0,0.241483,9.920402
0,0.24185,10.200909
0,0.242217,10.482004
0,0.242583,10.75634
0,0.24295,11.031517
0,0.243317,11.314939
0,0.243683,11.60223
0,0.24405,11.925339
0,0.244417,12.275992
0,0.244783,12.609771
0,0.24515,12.934274
0,0.245517,13.270023
0,0.245883,13.592747
0,0.24625,13.926416
0,0.246617,14.268118
0,0.246983,14.620185
0,0.24735,14.979698
0,0.247717,15.345327
0,0.248083,15.705733
0,0.24845,16.085924
0,0.248817,16.484175
0,0.249183,16.861057
0,0.24955,17.250448
0,0.249917,17.624439
0,0.250283,18.000347
0,0.25065,18.396685
0,0.251017,18.803581
0,0.251383,19.188107
0,0.25175,19.589003
0,0.252117,19.990063
0,0.252483,20.386614
0,0.25285,20.795874
0,0.253217,21.254881
0,0.253583,21.720137
0,0.25395,22.188389
0,0.254317,22.676121
0,0.254683,23.158167
0,0.25505,23.662622
0,0.255417,24.177681
0,0.255783,24.683567
0,0.25615,25.208677
0,0.256517,25.741295
0,0.256883,26.256569
0,0.25725,26.795963
0,0.257617,27.34206
0,0.257983,27.856392
0,0.25835,28.415182
0,0.258717,29.017242
1,0.259083,29.612202
1,0.25945,30.227068
1,0.259817,30.880035
1,0.260183,31.510668
1,0.26055,32.162064
1,0.260917,32.83865
1,0.261283,33.513531
1,0.26165,34.205013
1,0.262017,34.922657
1,0.262383,35.622574
1,0.26275,36.334396
1,0.263117,37.062431
1,0.263483,37.759178
1,0.26385,38.47876
1,0.264217,39.218178
1,0.264583,39.946297
1,0.26495,40.690403
1,0.265317,41.457527
1,0.265683,42.220207
1,0.26605,43.065777
1,0.266417,43.962765
1,0.266783,44.810455
1,0.26715,45.664635
1,0.267517,46.542286
1,0.267883,47.384113
1,0.26825,48.267273
1,0.268617,49.158615
1,0.268983,50.030746
1,0.26935,50.911419
1,0.269717,51.822586
1,0.270083,52.699917
1,0.27045,53.619442
1,0.270817,54.579716
1,0.271183,55.510689
1,0.27155,56.477379
1,0.271917,57.467312
1,0.272283,58.405628
1,0.27265,59.383312
1,0.273017,60.401585
1,0.273383,61.352299
1,0.27375,62.339218
1,0.274117,63.348125
1,0.274483,64.310844
1,0.27485,65.282753
1,0.275217,66.321716
1,0.275583,67.324844
1,0.27595,68.350807
1,0.276317,69.392761
1,0.276683,70.411064
1,0.27705,71.470749
1,0.277417,72.587364
1,0.277783,73.658455
1,0.27815,74.732727
1,0.278517,75.810204
1,0.278883,76.847237
1,0.27925,77.899117
1,0.279617,78.954483
1,0.279983,79.946732
1,0.28035,80.994301
1,0.280717,82.087585
1,0.281083,83.136711
1,0.28145,84.202888
1,0.281817,85.285843
1,0.282183,86.291336
1,0.28255,87.286911
1,0.282917,88.350243
1,0.283283,89.347595
1,0.28365,90.398438
1,0.284017,91.489532
1,0.284383,92.515739
1,0.28475,93.571632
1,0.285117,94.664322
1,0.285483,95.698288
1,0.28585,96.748604
1,0.286217,97.807106
1,0.286583,98.817619
1,0.28695,99.838799
1,0.287317,100.88552
1,0.287683,101.90737
1,0.28805,102.99949
1,0.288417,104.12393
1,0.288783,105.15251
1,0.28915,106.23799
1,0.289517,107.35569
1,0.289883,108.42164
1,0.29025,109.52898
1,0.290617,110.65396
1,0.290983,111.70953
1,0.29135,112.78346
1,0.291717,113.89834
1,0.292083,114.9567
1,0.29245,116.0839
1,0.292817,117.25881
1,0.293183,118.38295
1,0.29355,119.55937
1,0.293917,120.77298
1,0.294283,121.90842
1,0.29465,123.10771
1,0.295017,124.37336
1,0.295383,125.57247
1,0.29575,126.81398
1,0.296117,128.14865
1,0.296483,129.40988
1,0.29685,130.74769
1,0.297217,132.13114
1,0.297583,133.43338
1,0.29795,134.84437
1,0.298317,136.24739
1,0.298683,137.56921
1,0.29905,138.94154
1,0.299417,140.38093
1,0.299783,141.73774
1,0.30015,143.15222
1,0.300517,144.58891
1,0.300883,145.94738
1,0.30125,147.32218
1,0.301617,148.72651
1,0.301983,150.03765
1,0.30235,151.35888
1,0.302717,152.71008
1,0.303083,153.98057
1,0.30345,155.32629
1,0.303817,156.74423
1,0.304183,158.04881
1,0.30455,159.31552
1,0.304917,160.68193
1,0.305283,161.93064
1,0.30565,163.25479
1,0.306017,164.62565
1,0.306383,165.87287
1,0.30675,167.13194
1,0.307117,168.46734
1,0.307483,169.73939
1,0.30785,171.05293
1,0.308217,172.36784
1,0.308583,173.56498
1,0.30895,174.76553
1,0.309317,176.00798
1,0.309683,177.14376
1,0.31005,178.31498
1,0.310417,179.50219
1,0.310783,180.52977
1,0.31115,181.60804
1,0.311517,182.72999
1,0.311883,183.73867
1,0.31225,184.78735
1,0.312617,185.84497
1,0.312983,186.73873
1,0.31335,187.6558
1,0.313717,188.67115
1,0.314083,189.60179
1,0.31445,190.59974
1,0.314817,191.61351
1,0.315183,192.4593
1,0.31555,193.38249
1,0.315917,194.31199
1,0.316283,195.12605
1,0.31665,196.02006
1,0.317017,196.93075
1,0.317383,197.73277
1,0.31775,198.53598
1,0.318117,199.43231
1,0.318483,200.22776
1,0.31885,201.15112
1,0.319217,202.10653
1,0.319583,202.97534
1,0.31995,203.94514
1,0.320317,204.91679
1,0.320683,205.77302
1,0.32105,206.67063
