reference,genome,iterations,position,identity
KM201334,1tbs-13tbs,"1,000",16338,1
KM201334,1tbs-13tbs,"1,000",16339,1
KM201334,1tbs-13tbs,"1,000",16340,0.846153855
KM201334,1tbs-13tbs,"1,000",16341,1
KM201334,1tbs-13tbs,"1,000",16342,1
KM201334,1tbs-13tbs,"1,000",16343,1
KM201334,1tbs-13tbs,"1,000",16344,1
KM201334,1tbs-13tbs,"1,000",16345,1
KM201334,1tbs-13tbs,"1,000",16346,1
KM201334,1tbs-13tbs,"1,000",16347,0.846153855
KM201334,1tbs-13tbs,"1,000",16348,0.846153855
KM201334,1tbs-13tbs,"1,000",16349,0.717948735
KM201334,1tbs-13tbs,"1,000",16350,0.846153855
KM201334,1tbs-13tbs,"1,000",16351,0.846153855
KM201334,1tbs-13tbs,"1,000",16352,1
KM201334,1tbs-13tbs,"1,000",16353,0.846153855
KM201334,1tbs-13tbs,"1,000",16354,1
KM201334,1tbs-13tbs,"1,000",16355,0.846153855
KM201334,1tbs-13tbs,"1,000",16356,1
KM201334,1tbs-13tbs,"1,000",16357,1
KM201334,1tbs-13tbs,"1,000",16358,1
KM201334,1tbs-13tbs,"1,000",16359,1
KM201334,1tbs-13tbs,"1,000",16360,1
KM201334,1tbs-13tbs,"1,000",16361,0.538461566
KM201334,1tbs-13tbs,"1,000",16362,1
KM201334,1tbs-13tbs,"1,000",16363,1
KM201334,1tbs-13tbs,"1,000",16364,1
KM201334,1tbs-13tbs,"1,000",16365,0.846153855
KM201334,1tbs-13tbs,"1,000",16366,1
KM201334,1tbs-13tbs,"1,000",16367,0.717948735
KM201334,1tbs-13tbs,"1,000",16368,0.846153855
KM201334,1tbs-13tbs,"1,000",16369,0.487179488
KM201334,1tbs-13tbs,"1,000",16370,0.615384638
KM201334,1tbs-13tbs,"1,000",16371,1
KM201334,1tbs-13tbs,"1,000",16372,1
KM201334,1tbs-13tbs,"1,000",16373,1
KM201334,1tbs-13tbs,"1,000",16374,1
KM201334,1tbs-13tbs,"1,000",16375,1
KM201334,1tbs-13tbs,"1,000",16376,0.538461566
KM201334,1tbs-13tbs,"1,000",16377,0.846153855
KM201334,1tbs-13tbs,"1,000",16378,1
KM201334,1tbs-13tbs,"1,000",16379,1
KM201334,1tbs-13tbs,"1,000",16380,1
KM201334,1tbs-13tbs,"1,000",16381,1
KM201334,1tbs-13tbs,"1,000",16382,0.846153855
KM201334,1tbs-13tbs,"1,000",16383,1
KM201334,1tbs-13tbs,"1,000",16384,1
KM201334,1tbs-13tbs,"1,000",16385,1
KM201334,1tbs-13tbs,"1,000",16386,1
KM201334,1tbs-13tbs,"1,000",16387,1
KM201334,1tbs-13tbs,"1,000",16388,1
KM201334,1tbs-13tbs,"1,000",16389,1
KM201334,1tbs-13tbs,"1,000",16390,1
