reference,genome,iterations,position,identity
KM201334,1tbs-13tbs,"1,000",5436,1
KM201334,1tbs-13tbs,"1,000",5437,1
KM201334,1tbs-13tbs,"1,000",5438,1
KM201334,1tbs-13tbs,"1,000",5439,1
KM201334,1tbs-13tbs,"1,000",5440,1
KM201334,1tbs-13tbs,"1,000",5441,1
KM201334,1tbs-13tbs,"1,000",5442,1
KM201334,1tbs-13tbs,"1,000",5443,1
KM201334,1tbs-13tbs,"1,000",5444,1
KM201334,1tbs-13tbs,"1,000",5445,1
KM201334,1tbs-13tbs,"1,000",5446,1
KM201334,1tbs-13tbs,"1,000",5447,1
KM201334,1tbs-13tbs,"1,000",5448,1
KM201334,1tbs-13tbs,"1,000",5449,1
KM201334,1tbs-13tbs,"1,000",5450,1
KM201334,1tbs-13tbs,"1,000",5451,1
KM201334,1tbs-13tbs,"1,000",5452,1
KM201334,1tbs-13tbs,"1,000",5453,1
KM201334,1tbs-13tbs,"1,000",5454,1
KM201334,1tbs-13tbs,"1,000",5455,1
KM201334,1tbs-13tbs,"1,000",5456,1
KM201334,1tbs-13tbs,"1,000",5457,1
KM201334,1tbs-13tbs,"1,000",5458,1
KM201334,1tbs-13tbs,"1,000",5459,1
KM201334,1tbs-13tbs,"1,000",5460,1
KM201334,1tbs-13tbs,"1,000",5461,1
KM201334,1tbs-13tbs,"1,000",5462,1
KM201334,1tbs-13tbs,"1,000",5463,1
KM201334,1tbs-13tbs,"1,000",5464,1
KM201334,1tbs-13tbs,"1,000",5465,1
KM201334,1tbs-13tbs,"1,000",5466,1
KM201334,1tbs-13tbs,"1,000",5467,1
KM201334,1tbs-13tbs,"1,000",5468,1
KM201334,1tbs-13tbs,"1,000",5469,1
KM201334,1tbs-13tbs,"1,000",5470,1
KM201334,1tbs-13tbs,"1,000",5471,1
KM201334,1tbs-13tbs,"1,000",5472,1
KM201334,1tbs-13tbs,"1,000",5473,1
KM201334,1tbs-13tbs,"1,000",5474,1
KM201334,1tbs-13tbs,"1,000",5475,1
KM201334,1tbs-13tbs,"1,000",5476,1
KM201334,1tbs-13tbs,"1,000",5477,1
KM201334,1tbs-13tbs,"1,000",5478,1
KM201334,1tbs-13tbs,"1,000",5479,1
KM201334,1tbs-13tbs,"1,000",5480,1
KM201334,1tbs-13tbs,"1,000",5481,1
KM201334,1tbs-13tbs,"1,000",5482,1
KM201334,1tbs-13tbs,"1,000",5483,1
KM201334,1tbs-13tbs,"1,000",5484,1
KM201334,1tbs-13tbs,"1,000",5485,1
KM201334,1tbs-13tbs,"1,000",5486,1
KM201334,1tbs-13tbs,"1,000",5487,1
KM201334,1tbs-13tbs,"1,000",5488,1
KM201334,1tbs-13tbs,"1,000",5489,1
KM201334,1tbs-13tbs,"1,000",5490,1
KM201334,1tbs-13tbs,"1,000",5491,1
KM201334,1tbs-13tbs,"1,000",5492,1
KM201334,1tbs-13tbs,"1,000",5493,1
KM201334,1tbs-13tbs,"1,000",5494,1
KM201334,1tbs-13tbs,"1,000",5495,1
KM201334,1tbs-13tbs,"1,000",5496,1
KM201334,1tbs-13tbs,"1,000",5497,1
KM201334,1tbs-13tbs,"1,000",5498,1
KM201334,1tbs-13tbs,"1,000",5499,1
KM201334,1tbs-13tbs,"1,000",5500,1
KM201334,1tbs-13tbs,"1,000",5501,1
KM201334,1tbs-13tbs,"1,000",5502,1
KM201334,1tbs-13tbs,"1,000",5503,1
KM201334,1tbs-13tbs,"1,000",5504,1
KM201334,1tbs-13tbs,"1,000",5505,1
KM201334,1tbs-13tbs,"1,000",5506,1
KM201334,1tbs-13tbs,"1,000",5507,1
KM201334,1tbs-13tbs,"1,000",5508,1
KM201334,1tbs-13tbs,"1,000",5509,1
KM201334,1tbs-13tbs,"1,000",5510,1
KM201334,1tbs-13tbs,"1,000",5511,1
KM201334,1tbs-13tbs,"1,000",5512,1
KM201334,1tbs-13tbs,"1,000",5513,1
KM201334,1tbs-13tbs,"1,000",5514,1
KM201334,1tbs-13tbs,"1,000",5515,1
KM201334,1tbs-13tbs,"1,000",5516,1
KM201334,1tbs-13tbs,"1,000",5517,1
KM201334,1tbs-13tbs,"1,000",5518,1
KM201334,1tbs-13tbs,"1,000",5519,1
KM201334,1tbs-13tbs,"1,000",5520,1
KM201334,1tbs-13tbs,"1,000",5521,1
KM201334,1tbs-13tbs,"1,000",5522,1
KM201334,1tbs-13tbs,"1,000",5523,1
KM201334,1tbs-13tbs,"1,000",5524,1
KM201334,1tbs-13tbs,"1,000",5525,1
KM201334,1tbs-13tbs,"1,000",5526,1
KM201334,1tbs-13tbs,"1,000",5527,1
KM201334,1tbs-13tbs,"1,000",5528,1
KM201334,1tbs-13tbs,"1,000",5529,1
KM201334,1tbs-13tbs,"1,000",5530,1
KM201334,1tbs-13tbs,"1,000",5531,1
KM201334,1tbs-13tbs,"1,000",5532,1
KM201334,1tbs-13tbs,"1,000",5533,1
KM201334,1tbs-13tbs,"1,000",5534,1
KM201334,1tbs-13tbs,"1,000",5535,1
KM201334,1tbs-13tbs,"1,000",5536,1
KM201334,1tbs-13tbs,"1,000",5537,1
KM201334,1tbs-13tbs,"1,000",5538,1
KM201334,1tbs-13tbs,"1,000",5539,1
KM201334,1tbs-13tbs,"1,000",5540,1
KM201334,1tbs-13tbs,"1,000",5541,1
KM201334,1tbs-13tbs,"1,000",5542,1
KM201334,1tbs-13tbs,"1,000",5543,1
KM201334,1tbs-13tbs,"1,000",5544,1
KM201334,1tbs-13tbs,"1,000",5545,1
KM201334,1tbs-13tbs,"1,000",5546,1
KM201334,1tbs-13tbs,"1,000",5547,1
KM201334,1tbs-13tbs,"1,000",5548,1
KM201334,1tbs-13tbs,"1,000",5549,1
KM201334,1tbs-13tbs,"1,000",5550,1
KM201334,1tbs-13tbs,"1,000",5551,1
KM201334,1tbs-13tbs,"1,000",5552,1
KM201334,1tbs-13tbs,"1,000",5553,1
KM201334,1tbs-13tbs,"1,000",5554,1
KM201334,1tbs-13tbs,"1,000",5555,1
KM201334,1tbs-13tbs,"1,000",5556,1
KM201334,1tbs-13tbs,"1,000",5557,1
KM201334,1tbs-13tbs,"1,000",5558,1
KM201334,1tbs-13tbs,"1,000",5559,1
KM201334,1tbs-13tbs,"1,000",5560,1
KM201334,1tbs-13tbs,"1,000",5561,1
KM201334,1tbs-13tbs,"1,000",5562,1
KM201334,1tbs-13tbs,"1,000",5563,1
KM201334,1tbs-13tbs,"1,000",5564,1
KM201334,1tbs-13tbs,"1,000",5565,1
KM201334,1tbs-13tbs,"1,000",5566,1
KM201334,1tbs-13tbs,"1,000",5567,1
KM201334,1tbs-13tbs,"1,000",5568,1
KM201334,1tbs-13tbs,"1,000",5569,1
KM201334,1tbs-13tbs,"1,000",5570,1
KM201334,1tbs-13tbs,"1,000",5571,1
KM201334,1tbs-13tbs,"1,000",5572,1
KM201334,1tbs-13tbs,"1,000",5573,1
KM201334,1tbs-13tbs,"1,000",5574,1
KM201334,1tbs-13tbs,"1,000",5575,1
KM201334,1tbs-13tbs,"1,000",5576,1
KM201334,1tbs-13tbs,"1,000",5577,1
KM201334,1tbs-13tbs,"1,000",5578,1
KM201334,1tbs-13tbs,"1,000",5579,1
KM201334,1tbs-13tbs,"1,000",5580,1
KM201334,1tbs-13tbs,"1,000",5581,1
KM201334,1tbs-13tbs,"1,000",5582,1
KM201334,1tbs-13tbs,"1,000",5583,1
KM201334,1tbs-13tbs,"1,000",5584,1
KM201334,1tbs-13tbs,"1,000",5585,1
KM201334,1tbs-13tbs,"1,000",5586,1
KM201334,1tbs-13tbs,"1,000",5587,1
KM201334,1tbs-13tbs,"1,000",5588,1
KM201334,1tbs-13tbs,"1,000",5589,1
KM201334,1tbs-13tbs,"1,000",5590,1
KM201334,1tbs-13tbs,"1,000",5591,1
KM201334,1tbs-13tbs,"1,000",5592,1
KM201334,1tbs-13tbs,"1,000",5593,1
KM201334,1tbs-13tbs,"1,000",5594,1
KM201334,1tbs-13tbs,"1,000",5595,1
KM201334,1tbs-13tbs,"1,000",5596,1
KM201334,1tbs-13tbs,"1,000",5597,1
KM201334,1tbs-13tbs,"1,000",5598,1
KM201334,1tbs-13tbs,"1,000",5599,1
KM201334,1tbs-13tbs,"1,000",5600,1
KM201334,1tbs-13tbs,"1,000",5601,1
KM201334,1tbs-13tbs,"1,000",5602,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
