reference,genome,iterations,position,identity
KM201334,1tbs-13tbs,"1,000",1,1
KM201334,1tbs-13tbs,"1,000",2,1
KM201334,1tbs-13tbs,"1,000",3,1
KM201334,1tbs-13tbs,"1,000",4,1
KM201334,1tbs-13tbs,"1,000",5,1
KM201334,1tbs-13tbs,"1,000",6,1
KM201334,1tbs-13tbs,"1,000",7,1
KM201334,1tbs-13tbs,"1,000",8,1
KM201334,1tbs-13tbs,"1,000",9,1
KM201334,1tbs-13tbs,"1,000",10,1
KM201334,1tbs-13tbs,"1,000",11,1
KM201334,1tbs-13tbs,"1,000",12,1
KM201334,1tbs-13tbs,"1,000",13,1
KM201334,1tbs-13tbs,"1,000",14,1
KM201334,1tbs-13tbs,"1,000",15,1
KM201334,1tbs-13tbs,"1,000",16,1
KM201334,1tbs-13tbs,"1,000",17,1
KM201334,1tbs-13tbs,"1,000",18,1
KM201334,1tbs-13tbs,"1,000",19,1
KM201334,1tbs-13tbs,"1,000",20,1
KM201334,1tbs-13tbs,"1,000",21,1
KM201334,1tbs-13tbs,"1,000",22,1
KM201334,1tbs-13tbs,"1,000",23,1
KM201334,1tbs-13tbs,"1,000",24,1
KM201334,1tbs-13tbs,"1,000",25,1
KM201334,1tbs-13tbs,"1,000",26,1
KM201334,1tbs-13tbs,"1,000",27,1
KM201334,1tbs-13tbs,"1,000",28,1
KM201334,1tbs-13tbs,"1,000",29,1
KM201334,1tbs-13tbs,"1,000",30,1
KM201334,1tbs-13tbs,"1,000",31,1
KM201334,1tbs-13tbs,"1,000",32,1
KM201334,1tbs-13tbs,"1,000",33,1
KM201334,1tbs-13tbs,"1,000",34,1
KM201334,1tbs-13tbs,"1,000",35,1
KM201334,1tbs-13tbs,"1,000",36,1
KM201334,1tbs-13tbs,"1,000",37,1
KM201334,1tbs-13tbs,"1,000",38,1
KM201334,1tbs-13tbs,"1,000",39,1
KM201334,1tbs-13tbs,"1,000",40,1
KM201334,1tbs-13tbs,"1,000",41,1
KM201334,1tbs-13tbs,"1,000",42,1
KM201334,1tbs-13tbs,"1,000",43,1
KM201334,1tbs-13tbs,"1,000",44,1
KM201334,1tbs-13tbs,"1,000",45,1
KM201334,1tbs-13tbs,"1,000",46,1
KM201334,1tbs-13tbs,"1,000",47,1
KM201334,1tbs-13tbs,"1,000",48,1
KM201334,1tbs-13tbs,"1,000",49,1
KM201334,1tbs-13tbs,"1,000",50,1
KM201334,1tbs-13tbs,"1,000",51,1
KM201334,1tbs-13tbs,"1,000",52,1
KM201334,1tbs-13tbs,"1,000",53,1
KM201334,1tbs-13tbs,"1,000",54,1
KM201334,1tbs-13tbs,"1,000",55,1
KM201334,1tbs-13tbs,"1,000",56,1
KM201334,1tbs-13tbs,"1,000",57,1
KM201334,1tbs-13tbs,"1,000",58,1
KM201334,1tbs-13tbs,"1,000",59,1
KM201334,1tbs-13tbs,"1,000",60,1
KM201334,1tbs-13tbs,"1,000",61,1
KM201334,1tbs-13tbs,"1,000",62,1
KM201334,1tbs-13tbs,"1,000",63,1
KM201334,1tbs-13tbs,"1,000",64,1
