position,identity
15711,1
15712,0.682495236
15713,0.805823326
15714,0.659957469
15715,0.930019975
15716,0.98039341
15717,1
15718,1
15719,0.993421078
15720,1
15721,1
15722,1
15723,0.942352772
15724,0.98039341
15725,0.98039341
15726,0.993421078
15727,1
15728,0.666492939
15729,0.986885548
15730,0.886420906
15731,1
15732,0.954729021
15733,0.622869313
15734,0.954859316
15735,0.986885548
15736,0.854090691
15737,1
15738,1
15739,0.986885548
15740,1
15741,0.986885548
15742,0.993421078
15743,1
15744,0.986885548
15745,0.986863792
15746,1
15747,1
15748,1
15749,1
15750,1
15751,1
15752,0.842517793
15753,1
15754,1
15755,1
15756,1
15757,1
15758,0.942352772
15759,0.993421078
15760,0.930019975
15761,0.750673115
15762,0.935708702
15763,0.993421078
15764,0.986885548
15765,1
15766,0.973944783
15767,0.94830209
15768,0.973944783
15769,1
15770,1
15771,0.942352772
15772,1
15773,1
15774,1
15775,1
15776,1
15777,1
15778,1
15779,1
15780,1
15781,1
15782,1
15783,1
15784,1
15785,0.993421078
15786,1
15787,1
15788,0.993421078
15789,0.993421078
15790,1
15791,1
15792,1
15793,1
15794,1
15795,1
15796,1
15797,1
15798,1
15799,1
15800,1
15801,1
15802,1
15803,0.986885548
15804,1
15805,0.864056826
15806,1
15807,1
15808,1
15809,1
15810,1
15811,1
15812,0.967539489
15813,0.967539489
15814,0.967539489
15815,1
15816,1
15817,0.98039341
15818,1
15819,1
15820,1
15821,1
15822,1
15823,1
15824,0.993421078
15825,1
15826,1
15827,1
15828,1
15829,1
15830,0.993421078
15831,1
15832,1
15833,1
15834,1
15835,0.961177707
15836,1
15837,1
15838,1
15839,1
15840,1
15841,1
15842,0.917860866
15843,1
15844,1
15845,1
15846,0.993421078
15847,0.993421078
15848,1
15849,1
15850,1
15851,1
15852,1
15853,1
15854,1
15855,0.993421078
15856,1
15857,1
15858,1
15859,1
15860,1
15861,1
15862,1
15863,0.986885548
15864,1
15865,1
15866,1
15867,1
15868,1
15869,0.647928596
15870,1
15871,1
15872,0.993421078
15873,1
15874,1
15875,1
15876,1
15877,1
15878,1
15879,1
15880,1
15881,1
15882,1
15883,1
15884,1
15885,1
15886,1
15887,1
15888,1
15889,1
15890,1
15891,1
15892,1
15893,0.986885548
15894,1
15895,1
15896,1
15897,1
15898,1
15899,1
15900,0.993421078
15901,1
15902,1
15903,1
15904,1
15905,1
15906,1
15907,0.961069107
15908,1
15909,1
15910,1
15911,1
15912,1
15913,0.805823326
15914,0.993421078
15915,1
15916,0.929498851
15917,0.993421078
15918,0.837610722
15919,0.905875444
15920,1
15921,0.898449719
15922,0.832204282
15923,1
15924,0.967539489
15925,0.795574963
15926,1
15927,1
15928,1
15929,1
15930,1
15931,1
15932,1
15933,1
15934,1
15935,1
15936,1
15937,1
15938,1
15939,1
15940,1
15941,1
15942,1
15943,1
15944,1
15945,1
15946,1
15947,1
15948,1
15949,1
15950,1
15951,1
15952,0.993421078
15953,1
15954,1
15955,1
